valve_size	motor_disp	number_of_motors	number_of_valves	error_rms	flow_max	flow_rms	motor_cost	valve_cost	total_cost
3	4.93	5	1	0.009964683	487.8235296	137.1158834	10.0493	5	15.0493
2	4.93	5	1	0.010059222	368.2163444	122.5330433	10.0493	4.375	14.4243
3	22.9	2	2	0.010839143	739.6413526	266.6577496	4.0916	10	14.0916
2	16	3	2	0.012568788	733.5015868	239.1548707	6.096	8.75	14.846
3	28.1	2	2	0.014721501	860.5477755	298.8650967	4.1124	10	14.1124
1	28.1	2	3	0.016757571	736.0903313	288.8780961	4.1124	11.25	15.3624
2	28.1	2	2	0.016757886	736.0894244	288.8830139	4.1124	8.75	12.8624
1	16	3	2	0.016758729	490.7371971	197.743984	6.096	7.5	13.596
3	16	3	1	0.016812817	490.7362727	197.715774	6.096	5	11.096
1	22.9	2	3	0.017760142	734.8810794	274.7582593	4.0916	11.25	15.3416
