valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
3.0000,4.9300,5.0000,1.0000,0.0100,487.8235,137.1159,10.0493,5.0000,15.0493
2.0000,4.9300,5.0000,1.0000,0.0101,368.2163,122.5330,10.0493,4.3750,14.4243
3.0000,22.9000,2.0000,2.0000,0.0108,739.6414,266.6577,4.0916,10.0000,14.0916
2.0000,16.0000,3.0000,2.0000,0.0126,733.5016,239.1549,6.0960,8.7500,14.8460
3.0000,28.1000,2.0000,2.0000,0.0147,860.5478,298.8651,4.1124,10.0000,14.1124
1.0000,28.1000,2.0000,3.0000,0.0168,736.0903,288.8781,4.1124,11.2500,15.3624
2.0000,28.1000,2.0000,2.0000,0.0168,736.0894,288.8830,4.1124,8.7500,12.8624
1.0000,16.0000,3.0000,2.0000,0.0168,490.7372,197.7440,6.0960,7.5000,13.5960
3.0000,16.0000,3.0000,1.0000,0.0168,490.7363,197.7158,6.0960,5.0000,11.0960
1.0000,22.9000,2.0000,3.0000,0.0178,734.8811,274.7583,4.0916,11.2500,15.3416
