valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
3,32,3,2,0.00699093957562992,540.991973403182,179.517023580778,6.192,10,16.192
2,16,6,1,0.00643584701674534,289.899330091697,92.8327248677383,12.192,4.375,16.567
2,22.9,4,2,0.00600579888346218,383.085157752126,128.231233396677,8.1832,8.75,16.9332
3,16,6,1,0.00526670982061422,289.914209064682,92.9092680714861,12.192,5,17.192
3,22.9,4,2,0.00592320370881186,383.084248334285,128.213774825076,8.1832,10,18.1832
2,16,7,1,0.00558880683043167,303.469853581766,95.6916346014503,14.224,4.375,18.599
3,16,7,1,0.00558869877985175,303.469766619988,95.683817469441,14.224,5,19.224
2,32,3,3,0.00699181337072772,540.991878373416,179.526109017215,6.192,13.125,19.317
1,22.9,4,3,0.00600749348230185,383.083118647055,128.223094078764,8.1832,11.25,19.4332
1,16,6,2,0.00526545411227789,289.900954623746,92.8992584770235,12.192,7.5,19.692
