valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
1,4.93,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,12,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,16,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,28.1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,45.6,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,4.93,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,12,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,16,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,28.1,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,45.6,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,4.93,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,12,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,16,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,28.1,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,45.6,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,4.93,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,12,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,16,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,28.1,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,45.6,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,4.93,2,1,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,2,1,NaN,NaN,NaN,NaN,NaN,NaN
1,12,2,1,NaN,NaN,NaN,NaN,NaN,NaN
1,16,2,1,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,2,1,0.0645476061353142,245.494412998132,111.036564565086,4.0916,3.75,7.8416
1,28.1,2,1,0.0447207571208753,245.412446227584,123.719951182419,4.1124,3.75,7.8624
1,45.6,2,1,0.0665281402095414,210.038910970548,84.7475815746087,4.1824,3.75,7.9324
1,4.93,2,2,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,2,2,NaN,NaN,NaN,NaN,NaN,NaN
