valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
1,4.93,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,12,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,16,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,28.1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,32,1,1,NaN,NaN,NaN,NaN,NaN,NaN
1,4.93,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,12,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,16,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,28.1,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,32,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,4.93,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,12,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,16,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,28.1,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,32,1,3,NaN,NaN,NaN,NaN,NaN,NaN
1,4.93,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,12,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,16,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,28.1,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,32,1,4,NaN,NaN,NaN,NaN,NaN,NaN
1,4.93,2,1,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,2,1,NaN,NaN,NaN,NaN,NaN,NaN
1,12,2,1,NaN,NaN,NaN,NaN,NaN,NaN
1,16,2,1,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,2,1,NaN,NaN,NaN,NaN,NaN,NaN
1,28.1,2,1,NaN,NaN,NaN,NaN,NaN,NaN
1,32,2,1,NaN,NaN,NaN,NaN,NaN,NaN
1,4.93,2,2,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,2,2,NaN,NaN,NaN,NaN,NaN,NaN
1,12,2,2,NaN,NaN,NaN,NaN,NaN,NaN
1,16,2,2,NaN,NaN,NaN,NaN,NaN,NaN
