motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost
4.93,1,1,NaN,NaN,NaN,NaN,NaN
10.3,1,1,NaN,NaN,NaN,NaN,NaN
12,1,1,NaN,NaN,NaN,NaN,NaN
16,1,1,NaN,NaN,NaN,NaN,NaN
22.9,1,1,NaN,NaN,NaN,NaN,NaN
28.1,1,1,NaN,NaN,NaN,NaN,NaN
45.6,1,1,NaN,NaN,NaN,NaN,NaN
4.93,1,2,NaN,NaN,NaN,NaN,NaN
10.3,1,2,NaN,NaN,NaN,NaN,NaN
12,1,2,NaN,NaN,NaN,NaN,NaN
16,1,2,NaN,NaN,NaN,NaN,NaN
22.9,1,2,NaN,NaN,NaN,NaN,NaN
28.1,1,2,NaN,NaN,NaN,NaN,NaN
45.6,1,2,NaN,NaN,NaN,NaN,NaN
4.93,1,3,NaN,NaN,NaN,NaN,NaN
10.3,1,3,NaN,NaN,NaN,NaN,NaN
12,1,3,NaN,NaN,NaN,NaN,NaN
16,1,3,NaN,NaN,NaN,NaN,NaN
22.9,1,3,NaN,NaN,NaN,NaN,NaN
28.1,1,3,NaN,NaN,NaN,NaN,NaN
45.6,1,3,NaN,NaN,NaN,NaN,NaN
4.93,1,4,NaN,NaN,NaN,NaN,NaN
10.3,1,4,NaN,NaN,NaN,NaN,NaN
12,1,4,NaN,NaN,NaN,NaN,NaN
16,1,4,NaN,NaN,NaN,NaN,NaN
22.9,1,4,NaN,NaN,NaN,NaN,NaN
28.1,1,4,NaN,NaN,NaN,NaN,NaN
45.6,1,4,NaN,NaN,NaN,NaN,NaN
4.93,2,1,NaN,NaN,NaN,NaN,NaN
10.3,2,1,NaN,NaN,NaN,NaN,NaN
12,2,1,NaN,NaN,NaN,NaN,NaN
16,2,1,NaN,NaN,NaN,NaN,NaN
22.9,2,1,0.0944589410853646,218.797482894244,93.2528352184605,4.0916,4.375
28.1,2,1,0.112407775321653,279.568600779414,132.470644366227,4.1124,4.375
45.6,2,1,0.148771200448649,475.977064771161,237.278963457074,4.1824,4.375
4.93,2,2,NaN,NaN,NaN,NaN,NaN
10.3,2,2,NaN,NaN,NaN,NaN,NaN
12,2,2,NaN,NaN,NaN,NaN,NaN
16,2,2,NaN,NaN,NaN,NaN,NaN
22.9,2,2,0.0544252383931677,303.569576924456,91.6677137845821,4.0916,8.75
28.1,2,2,0.0787353763799471,367.237817592234,117.04431036031,4.1124,8.75
45.6,2,2,0.120724549884545,561.260488557744,236.045037443887,4.1824,8.75
4.93,2,3,NaN,NaN,NaN,NaN,NaN
