valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
0.6,4.93,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.6,12,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.6,16,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.6,22.9,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.6,28.1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.6,45.6,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.6,4.93,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.6,12,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.6,16,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.6,22.9,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.6,28.1,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.6,45.6,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.6,4.93,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,12,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,16,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,22.9,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,28.1,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,45.6,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,4.93,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,12,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,16,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,22.9,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,28.1,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,45.6,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,4.93,2,1,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,2,1,NaN,NaN,NaN,NaN,NaN,NaN
0.6,12,2,1,NaN,NaN,NaN,NaN,NaN,NaN
0.6,16,2,1,NaN,NaN,NaN,NaN,NaN,NaN
0.6,22.9,2,1,0.160883023299347,217.211687399038,69.534909562473,4.0916,3.75,7.8416
0.6,28.1,2,1,0.1232059579652,278.413208420504,93.2359406069646,4.1124,3.75,7.8624
0.6,45.6,2,1,0.144695129028084,469.77437578773,149.886302367556,4.1824,3.75,7.9324
0.6,4.93,2,2,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,2,2,NaN,NaN,NaN,NaN,NaN,NaN
0.6,12,2,2,NaN,NaN,NaN,NaN,NaN,NaN
0.6,16,2,2,NaN,NaN,NaN,NaN,NaN,NaN
0.6,22.9,2,2,0.0994477428891165,295.921186620926,65.9721987028065,4.0916,7.5,11.5916
0.6,28.1,2,2,0.0846092487444916,361.992211702747,83.4607163067714,4.1124,7.5,11.6124
0.6,45.6,2,2,0.103122755072737,551.101883406994,140.621113908067,4.1824,7.5,11.6824
0.6,4.93,2,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,2,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,12,2,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,16,2,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,22.9,2,3,0.0994478958920607,295.921232289086,65.9722529913567,4.0916,11.25,15.3416
0.6,28.1,2,3,0.0847603916087825,361.991657108592,83.5661067167283,4.1124,11.25,15.3624
0.6,45.6,2,3,0.103122724356015,551.10186595406,140.621077560398,4.1824,11.25,15.4324
0.6,4.93,2,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,2,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,12,2,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,16,2,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,22.9,2,4,0.0994478956757638,295.921222401312,65.9722540523228,4.0916,15,19.0916
0.6,28.1,2,4,0.0846146065616349,361.987909213165,83.4605674381539,4.1124,15,19.1124
0.6,45.6,2,4,0.103122812865145,551.101849266391,140.621190826985,4.1824,15,19.1824
0.6,4.93,3,1,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,3,1,7.59563213181975,197.876826581245,119.88294535346,6.0618,3.75,9.8118
0.6,12,3,1,4.4881502269983,260.438528028474,148.953937803679,6.072,3.75,9.822
0.6,16,3,1,0.0636697710943582,315.389168181077,75.86962156097,6.096,3.75,9.846
0.6,22.9,3,1,0.127405127641535,392.136921394328,158.667057977672,6.1374,3.75,9.8874
0.6,28.1,3,1,0.122912259248619,449.432677424319,159.03569484608,6.1686,3.75,9.9186
0.6,45.6,3,1,0.195249163277769,554.45451669095,232.40631124188,6.2736,3.75,10.0236
0.6,4.93,3,2,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,3,2,1.52195989020907,366.918557760545,199.399791865946,6.0618,7.5,13.5618
0.6,12,3,2,0.470814891035597,498.062818681084,309.302354221954,6.072,7.5,13.572
0.6,16,3,2,0.0636704905910843,315.389344787593,75.8700944970901,6.096,7.5,13.596
0.6,22.9,3,2,0.0762788766580818,420.583261592455,106.617898482297,6.1374,7.5,13.6374
0.6,28.1,3,2,0.0888084249716803,503.150859037704,129.363854897995,6.1686,7.5,13.6686
0.6,45.6,3,2,0.127886265779797,765.944044864872,197.683755891409,6.2736,7.5,13.7736
0.6,4.93,3,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,3,3,0.605121663064202,510.289978187688,310.251261350547,6.0618,11.25,17.3118
0.6,12,3,3,0.362166623878613,622.961356666144,296.795065678193,6.072,11.25,17.322
0.6,16,3,3,0.0636705921748727,315.389393363649,75.8701580348968,6.096,11.25,17.346
0.6,22.9,3,3,0.0762788636959172,420.583272426847,106.617885670638,6.1374,11.25,17.3874
0.6,28.1,3,3,0.088808408085509,503.150873538792,129.363833693716,6.1686,11.25,17.4186
0.6,45.6,3,3,0.127886260088723,765.944045434668,197.683748087021,6.2736,11.25,17.5236
0.6,4.93,3,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,3,4,0.509409191129362,591.900758921148,290.671066542224,6.0618,15,21.0618
0.6,12,3,4,0.36216667126206,622.961426801464,296.795087306579,6.072,15,21.072
0.6,16,3,4,0.0636705994256307,315.389402629199,75.8701412754742,6.096,15,21.096
0.6,22.9,3,4,0.076278903834209,420.583115312275,106.617931887277,6.1374,15,21.1374
0.6,28.1,3,4,0.0888084403147395,503.150859592096,129.363882196115,6.1686,15,21.1686
0.6,45.6,3,4,0.127886227688182,765.944036244849,197.683705208426,6.2736,15,21.2736
0.6,4.93,4,1,4.66253509822852,58.563981984285,28.5799303525311,8.03944,3.75,11.78944
